Periodo,Entidad_Federativa,Sexo,Grupo_edad,Actividad_economica,Numero_personas
20200301,Ciudad de México,Mujer,15 A 24 AÑOS,Industria Manufacturera,23434
20200301,Ciudad de México,Mujer,25 A 44 AÑOS,Restaurantes y Servicios de Alojamiento,77169
"20200301,Ciudad de México,Mujer,65 AÑOS Y MAS,""Servicios Profesionales, Financieros y Corporativos"",4414"
20200301,Ciudad de México,Hombre,25 A 44 AÑOS,Comercio,194506
20200301,Ciudad de México,Hombre,25 A 44 AÑOS,No Especificado,7084
"20200301,Ciudad de México,Hombre,25 A 44 AÑOS,""Transportes, Comunicaciones, Correo y Almacenamiento"",134808"
20200301,Ciudad de México,Mujer,65 AÑOS Y MAS,Comercio,54509
"20200301,Ciudad de México,Mujer,65 AÑOS Y MAS,""Transportes, Comunicaciones, Correo y Almacenamiento"",1522"
20200301,Ciudad de México,Mujer,65 AÑOS Y MAS,Industria Manufacturera,6188
20200301,Ciudad de México,Hombre,45 A 64 AÑOS,Industria Extractiva y de la Electricidad,5670
"20200301,Ciudad de México,Hombre,25 A 44 AÑOS,""Agricultura, Ganadería, Silvicultura, Caza y Pesca"",3510"
20200301,Ciudad de México,Mujer,15 A 24 AÑOS,Gobierno y Organismos Internacionales,7727
20200301,Ciudad de México,Hombre,15 A 24 AÑOS,Gobierno y Organismos Internacionales,6158
20200301,Ciudad de México,Hombre,65 AÑOS Y MAS,Restaurantes y Servicios de Alojamiento,5888
20200301,Ciudad de México,Mujer,25 A 44 AÑOS,Servicios Sociales,194810
20200301,Ciudad de México,Mujer,45 A 64 AÑOS,Comercio,146482
20200301,Ciudad de México,Hombre,45 A 64 AÑOS,Gobierno y Organismos Internacionales,82448
"20200301,Ciudad de México,Mujer,45 A 64 AÑOS,""Transportes, Comunicaciones, Correo y Almacenamiento"",21069"
20200301,Ciudad de México,Hombre,15 A 24 AÑOS,No Especificado,1120
20200301,Ciudad de México,Mujer,45 A 64 AÑOS,Industria Manufacturera,66709
20200301,Ciudad de México,Mujer,45 A 64 AÑOS,Restaurantes y Servicios de Alojamiento,63622
"20200301,Ciudad de México,Mujer,65 AÑOS Y MAS,""Agricultura, Ganadería, Silvicultura, Caza y Pesca"",2605"
"20200301,Ciudad de México,Hombre,15 A 24 AÑOS,""Servicios Profesionales, Financieros y Corporativos"",42500"
20200301,Ciudad de México,Hombre,45 A 64 AÑOS,Restaurantes y Servicios de Alojamiento,39488
20200301,Ciudad de México,Hombre,65 AÑOS Y MAS,Industria Manufacturera,15782
20200301,Ciudad de México,Mujer,15 A 24 AÑOS,No Especificado,962
20200301,Ciudad de México,Hombre,25 A 44 AÑOS,Restaurantes y Servicios de Alojamiento,75122
20200301,Ciudad de México,Mujer,65 AÑOS Y MAS,Servicios Sociales,12845
20200301,Ciudad de México,Hombre,45 A 64 AÑOS,Servicios Diversos,98768
20200301,Ciudad de México,Mujer,15 A 24 AÑOS,Construcción,4353
"20200301,Ciudad de México,Mujer,25 A 44 AÑOS,""Agricultura, Ganadería, Silvicultura, Caza y Pesca"",1517"
"20200301,Ciudad de México,Hombre,65 AÑOS Y MAS,""Transportes, Comunicaciones, Correo y Almacenamiento"",9691"
20200301,Ciudad de México,Mujer,25 A 44 AÑOS,No Especificado,4133
20200301,Ciudad de México,Hombre,15 A 24 AÑOS,Servicios Sociales,13732
20200301,Ciudad de México,Hombre,45 A 64 AÑOS,Construcción,83154
20200301,Ciudad de México,Mujer,25 A 44 AÑOS,Gobierno y Organismos Internacionales,50345
"20200301,Ciudad de México,Hombre,45 A 64 AÑOS,""Agricultura, Ganadería, Silvicultura, Caza y Pesca"",4848"
20200301,Ciudad de México,Hombre,15 A 24 AÑOS,Restaurantes y Servicios de Alojamiento,35849
"20200301,Ciudad de México,Hombre,15 A 24 AÑOS,""Transportes, Comunicaciones, Correo y Almacenamiento"",19157"
20200301,Ciudad de México,Hombre,65 AÑOS Y MAS,Comercio,42899
20200301,Ciudad de México,Hombre,65 AÑOS Y MAS,Gobierno y Organismos Internacionales,15974
20200301,Ciudad de México,Mujer,65 AÑOS Y MAS,Servicios Diversos,17123
20200301,Ciudad de México,Hombre,25 A 44 AÑOS,Gobierno y Organismos Internacionales,75463
20200301,Ciudad de México,Mujer,15 A 24 AÑOS,Servicios Sociales,9679
20200301,Ciudad de México,Mujer,25 A 44 AÑOS,Industria Extractiva y de la Electricidad,2403
20200301,Ciudad de México,Mujer,45 A 64 AÑOS,Servicios Diversos,130992
20200301,Ciudad de México,Mujer,65 AÑOS Y MAS,Gobierno y Organismos Internacionales,5826
20200301,Ciudad de México,Mujer,65 AÑOS Y MAS,Restaurantes y Servicios de Alojamiento,15688
20200301,Ciudad de México,Mujer,15 A 24 AÑOS,Comercio,52533
"20200301,Ciudad de México,Mujer,25 A 44 AÑOS,""Servicios Profesionales, Financieros y Corporativos"",198267"
"20200301,Ciudad de México,Hombre,25 A 44 AÑOS,""Servicios Profesionales, Financieros y Corporativos"",205904"
"20200301,Ciudad de México,Hombre,65 AÑOS Y MAS,""Agricultura, Ganadería, Silvicultura, Caza y Pesca"",4994"
20200301,Ciudad de México,Hombre,65 AÑOS Y MAS,Servicios Diversos,23175
"20200301,Ciudad de México,Mujer,15 A 24 AÑOS,""Servicios Profesionales, Financieros y Corporativos"",31024"
20200301,Ciudad de México,Hombre,65 AÑOS Y MAS,Construcción,13785
20200301,Ciudad de México,Mujer,45 A 64 AÑOS,Construcción,2840
20200301,Ciudad de México,Mujer,45 A 64 AÑOS,Industria Extractiva y de la Electricidad,3648
20200301,Ciudad de México,Hombre,15 A 24 AÑOS,Servicios Diversos,34403
20200301,Ciudad de México,Hombre,25 A 44 AÑOS,Servicios Sociales,95330
20200301,Ciudad de México,Hombre,45 A 64 AÑOS,Comercio,154573
20200301,Ciudad de México,Hombre,65 AÑOS Y MAS,Industria Extractiva y de la Electricidad,683
20200301,Ciudad de México,Hombre,45 A 64 AÑOS,No Especificado,4219
20200301,Ciudad de México,Hombre,45 A 64 AÑOS,Servicios Sociales,82548
20200301,Ciudad de México,Mujer,15 A 24 AÑOS,Restaurantes y Servicios de Alojamiento,24561
20200301,Ciudad de México,Mujer,25 A 44 AÑOS,Servicios Diversos,123884
"20200301,Ciudad de México,Mujer,45 A 64 AÑOS,""Agricultura, Ganadería, Silvicultura, Caza y Pesca"",905"
20200301,Ciudad de México,Mujer,15 A 24 AÑOS,Servicios Diversos,18241
20200301,Ciudad de México,Mujer,25 A 44 AÑOS,Construcción,15706
20200301,Ciudad de México,Mujer,25 A 44 AÑOS,Industria Manufacturera,85630
20200301,Ciudad de México,Mujer,45 A 64 AÑOS,Servicios Sociales,131001
20200301,Ciudad de México,Hombre,15 A 24 AÑOS,Industria Manufacturera,34025
"20200301,Ciudad de México,Hombre,65 AÑOS Y MAS,""Servicios Profesionales, Financieros y Corporativos"",20492"
20200301,Ciudad de México,Hombre,25 A 44 AÑOS,Construcción,109924
"20200301,Ciudad de México,Hombre,45 A 64 AÑOS,""Servicios Profesionales, Financieros y Corporativos"",117723"
20200301,Ciudad de México,Mujer,45 A 64 AÑOS,No Especificado,2499
20200301,Ciudad de México,Hombre,15 A 24 AÑOS,Construcción,17970
20200301,Ciudad de México,Hombre,65 AÑOS Y MAS,No Especificado,1783
"20200301,Ciudad de México,Mujer,25 A 44 AÑOS,""Transportes, Comunicaciones, Correo y Almacenamiento"",41821"
20200301,Ciudad de México,Mujer,45 A 64 AÑOS,Gobierno y Organismos Internacionales,65535
20200301,Ciudad de México,Hombre,25 A 44 AÑOS,Industria Extractiva y de la Electricidad,2856
20200301,Ciudad de México,Hombre,25 A 44 AÑOS,Servicios Diversos,98011
20200301,Ciudad de México,Hombre,65 AÑOS Y MAS,Servicios Sociales,15757
20200301,Ciudad de México,Hombre,45 A 64 AÑOS,Industria Manufacturera,95349
"20200301,Ciudad de México,Mujer,15 A 24 AÑOS,""Transportes, Comunicaciones, Correo y Almacenamiento"",3702"
"20200301,Ciudad de México,Hombre,45 A 64 AÑOS,""Transportes, Comunicaciones, Correo y Almacenamiento"",121618"
"20200301,Ciudad de México,Mujer,45 A 64 AÑOS,""Servicios Profesionales, Financieros y Corporativos"",89270"
20200301,Ciudad de México,Hombre,15 A 24 AÑOS,Comercio,54577
20200301,Ciudad de México,Hombre,25 A 44 AÑOS,Industria Manufacturera,142507
20200301,Ciudad de México,Mujer,25 A 44 AÑOS,Comercio,156577
